Date,Product,Sales,Type,Lower_Bound,Upper_Bound
2020-07-03,Product A,316,Actual,316,316
2020-07-04,Product A,322,Actual,322,322
2020-07-05,Product A,312,Actual,312,312
2020-07-06,Product A,326,Actual,326,326
2020-07-07,Product A,348,Actual,348,348
2020-07-08,Product A,341,Actual,341,341
2020-07-09,Product A,345,Actual,345,345
2020-07-10,Product A,330,Actual,330,330
2020-07-11,Product A,300,Actual,300,300
2020-07-12,Product A,313,Actual,313,313
2020-07-13,Product A,330,Actual,330,330
2020-07-14,Product A,345,Actual,345,345
2020-07-15,Product A,348,Actual,348,348
2020-07-16,Product A,327,Actual,327,327
2020-07-17,Product A,330,Actual,330,330
2020-07-18,Product A,318,Actual,318,318
2020-07-19,Product A,331,Actual,331,331
2020-07-20,Product A,334,Actual,334,334
2020-07-21,Product A,350,Actual,350,350
2020-07-22,Product A,355,Actual,355,355
2020-07-23,Product A,342,Actual,342,342
2020-07-24,Product A,309,Actual,309,309
2020-07-25,Product A,302,Actual,302,302
2020-07-26,Product A,326,Actual,326,326
2020-07-27,Product A,331,Actual,331,331
2020-07-28,Product A,326,Actual,326,326
2020-07-29,Product A,338,Actual,338,338
2020-07-30,Product A,320,Actual,320,320
2020-07-31,Product A,322,Actual,322,322
2020-08-01,Product A,312,Actual,312,312
2020-08-02,Product A,318,Actual,318,318
2020-08-03,Product A,309,Actual,309,309
2020-08-04,Product A,314,Actual,314,314
2020-08-05,Product A,339,Actual,339,339
2020-08-06,Product A,331,Actual,331,331
2020-08-07,Product A,313,Actual,313,313
2020-08-08,Product A,304,Actual,304,304
2020-08-09,Product A,309,Actual,309,309
2020-08-10,Product A,305,Actual,305,305
2020-08-11,Product A,324,Actual,324,324
2020-08-12,Product A,332,Actual,332,332
2020-08-13,Product A,332,Actual,332,332
2020-08-14,Product A,313,Actual,313,313
2020-08-15,Product A,307,Actual,307,307
2020-08-16,Product A,297,Actual,297,297
2020-08-17,Product A,318,Actual,318,318
2020-08-18,Product A,313,Actual,313,313
2020-08-19,Product A,341,Actual,341,341
2020-08-20,Product A,316,Actual,316,316
2020-08-21,Product A,320,Actual,320,320
2020-08-22,Product A,284,Actual,284,284
2020-08-23,Product A,307,Actual,307,307
2020-08-24,Product A,316,Actual,316,316
2020-08-25,Product A,327,Actual,327,327
2020-08-26,Product A,320,Actual,320,320
2020-08-27,Product A,324,Actual,324,324
2020-08-28,Product A,306,Actual,306,306
2020-08-29,Product A,283,Actual,283,283
2020-08-30,Product A,310,Actual,310,310
2020-08-31,Product A,307,Actual,307,307
2020-09-01,Product A,332,Actual,332,332
2020-09-02,Product A,345,Actual,345,345
2020-09-03,Product A,337,Actual,337,337
2020-09-04,Product A,311,Actual,311,311
2020-09-05,Product A,302,Actual,302,302
2020-09-06,Product A,285,Actual,285,285
2020-09-07,Product A,305,Actual,305,305
2020-09-08,Product A,317,Actual,317,317
2020-09-09,Product A,327,Actual,327,327
2020-09-10,Product A,305,Actual,305,305
2020-09-11,Product A,303,Actual,303,303
2020-09-12,Product A,288,Actual,288,288
2020-09-13,Product A,312,Actual,312,312
2020-09-14,Product A,304,Actual,304,304
2020-09-15,Product A,327,Actual,327,327
2020-09-16,Product A,314,Actual,314,314
2020-09-17,Product A,322,Actual,322,322
2020-09-18,Product A,309,Actual,309,309
2020-09-19,Product A,296,Actual,296,296
2020-09-20,Product A,295,Actual,295,295
2020-09-21,Product A,331,Actual,331,331
2020-09-22,Product A,316,Actual,316,316
2020-09-23,Product A,348,Actual,348,348
2020-09-24,Product A,328,Actual,328,328
2020-09-25,Product A,307,Actual,307,307
2020-09-26,Product A,302,Actual,302,302
2020-09-27,Product A,301,Actual,301,301
2020-09-28,Product A,301,Actual,301,301
2020-09-29,Product A,332,Actual,332,332
2020-09-30,Product A,323,Actual,323,323
2020-10-01,Product A,298,Actual,298,298
2020-10-02,Product A,309,Actual,309,309
2020-10-03,Product A,333,Actual,333,333
2020-10-04,Product A,303,Actual,303,303
2020-10-05,Product A,322,Actual,322,322
2020-10-06,Product A,316,Actual,316,316
2020-10-07,Product A,331,Actual,331,331
2020-10-08,Product A,325,Actual,325,325
2020-10-09,Product A,331,Actual,331,331
2020-10-10,Product A,315,Actual,315,315
2020-10-11,Product A,308,Actual,308,308
2020-10-12,Product A,326,Actual,326,326
2020-10-13,Product A,347,Actual,347,347
2020-10-14,Product A,342,Actual,342,342
2020-10-15,Product A,359,Actual,359,359
2020-10-16,Product A,297,Actual,297,297
2020-10-17,Product A,315,Actual,315,315
2020-10-18,Product A,310,Actual,310,310
2020-10-19,Product A,324,Actual,324,324
2020-10-20,Product A,330,Actual,330,330
2020-10-21,Product A,348,Actual,348,348
2020-10-22,Product A,337,Actual,337,337
2020-10-23,Product A,340,Actual,340,340
2020-10-24,Product A,316,Actual,316,316
2020-10-25,Product A,317,Actual,317,317
2020-10-26,Product A,326,Actual,326,326
2020-10-27,Product A,340,Actual,340,340
2020-10-28,Product A,345,Actual,345,345
2020-10-29,Product A,335,Actual,335,335
2020-10-30,Product A,311,Actual,311,311
2020-10-31,Product A,324,Actual,324,324
2020-11-01,Product A,332,Actual,332,332
2020-11-02,Product A,347,Actual,347,347
2020-11-03,Product A,350,Actual,350,350
2020-11-04,Product A,351,Actual,351,351
2020-11-05,Product A,341,Actual,341,341
2020-11-06,Product A,335,Actual,335,335
2020-11-07,Product A,310,Actual,310,310
2020-11-08,Product A,326,Actual,326,326
2020-11-09,Product A,330,Actual,330,330
2020-11-10,Product A,357,Actual,357,357
2020-11-11,Product A,345,Actual,345,345
2020-11-12,Product A,345,Actual,345,345
2020-11-13,Product A,342,Actual,342,342
2020-11-14,Product A,335,Actual,335,335
2020-11-15,Product A,328,Actual,328,328
2020-11-16,Product A,362,Actual,362,362
2020-11-17,Product A,351,Actual,351,351
2020-11-18,Product A,364,Actual,364,364
2020-11-19,Product A,339,Actual,339,339
2020-11-20,Product A,338,Actual,338,338
2020-11-21,Product A,327,Actual,327,327
2020-11-22,Product A,332,Actual,332,332
2020-11-23,Product A,352,Actual,352,352
2020-11-24,Product A,351,Actual,351,351
2020-11-25,Product A,377,Actual,377,377
2020-11-26,Product A,370,Actual,370,370
2020-11-27,Product A,357,Actual,357,357
2020-11-28,Product A,344,Actual,344,344
2020-11-29,Product A,334,Actual,334,334
2020-11-30,Product A,356,Actual,356,356
2020-12-01,Product A,355,Actual,355,355
2020-12-02,Product A,388,Actual,388,388
2020-12-03,Product A,356,Actual,356,356
2020-12-04,Product A,345,Actual,345,345
2020-12-05,Product A,347,Actual,347,347
2020-12-06,Product A,348,Actual,348,348
2020-12-07,Product A,358,Actual,358,358
2020-12-08,Product A,352,Actual,352,352
2020-12-09,Product A,355,Actual,355,355
2020-12-10,Product A,380,Actual,380,380
2020-12-11,Product A,352,Actual,352,352
2020-12-12,Product A,349,Actual,349,349
2020-12-13,Product A,364,Actual,364,364
2020-12-14,Product A,374,Actual,374,374
2020-12-15,Product A,393,Actual,393,393
2020-12-16,Product A,393,Actual,393,393
2020-12-17,Product A,357,Actual,357,357
2020-12-18,Product A,359,Actual,359,359
2020-12-19,Product A,357,Actual,357,357
2020-12-20,Product A,358,Actual,358,358
2020-12-21,Product A,379,Actual,379,379
2020-12-22,Product A,385,Actual,385,385
2020-12-23,Product A,393,Actual,393,393
2020-12-24,Product A,379,Actual,379,379
2020-12-25,Product A,365,Actual,365,365
2020-12-26,Product A,366,Actual,366,366
2020-12-27,Product A,363,Actual,363,363
2020-12-28,Product A,364,Actual,364,364
2020-12-29,Product A,394,Actual,394,394
2020-12-30,Product A,385,Actual,385,385
2020-12-31,Product A,387,Actual,387,387
2021-01-01,Product A,374,Actual,374,374
2021-01-02,Product A,377,Actual,377,377
2021-01-03,Product A,368,Actual,368,368
2021-01-04,Product A,392,Actual,392,392
2021-01-05,Product A,405,Actual,405,405
2021-01-06,Product A,430,Actual,430,430
2021-01-07,Product A,402,Actual,402,402
2021-01-08,Product A,383,Actual,383,383
2021-01-09,Product A,368,Actual,368,368
2021-01-10,Product A,370,Actual,370,370
2021-01-11,Product A,380,Actual,380,380
2021-01-12,Product A,411,Actual,411,411
2021-01-13,Product A,415,Actual,415,415
2021-01-14,Product A,397,Actual,397,397
2021-01-15,Product A,408,Actual,408,408
2021-01-16,Product A,366,Actual,366,366
2021-01-17,Product A,378,Actual,378,378
2021-01-18,Product A,395,Actual,395,395
2021-01-19,Product A,401,Actual,401,401
2021-01-20,Product A,408,Actual,408,408
2021-01-21,Product A,410,Actual,410,410
2021-01-22,Product A,411,Actual,411,411
2021-01-23,Product A,383,Actual,383,383
2021-01-24,Product A,381,Actual,381,381
2021-01-25,Product A,403,Actual,403,403
2021-01-26,Product A,454,Actual,454,454
2021-01-27,Product A,410,Actual,410,410
2021-01-28,Product A,409,Actual,409,409
2021-01-29,Product A,401,Actual,401,401
2021-01-30,Product A,378,Actual,378,378
2021-01-31,Product A,393,Actual,393,393
2021-02-01,Product A,425,Actual,425,425
2021-02-02,Product A,423,Actual,423,423
2021-02-03,Product A,418,Actual,418,418
2021-02-04,Product A,429,Actual,429,429
2021-02-05,Product A,390,Actual,390,390
2021-02-06,Product A,398,Actual,398,398
2021-02-07,Product A,420,Actual,420,420
2021-02-08,Product A,408,Actual,408,408
2021-02-09,Product A,415,Actual,415,415
2021-02-10,Product A,429,Actual,429,429
2021-02-11,Product A,431,Actual,431,431
2021-02-12,Product A,423,Actual,423,423
2021-02-13,Product A,423,Actual,423,423
2021-02-14,Product A,417,Actual,417,417
2021-02-15,Product A,432,Actual,432,432
2021-02-16,Product A,423,Actual,423,423
2021-02-17,Product A,425,Actual,425,425
2021-02-18,Product A,435,Actual,435,435
2021-02-19,Product A,402,Actual,402,402
2021-02-20,Product A,412,Actual,412,412
2021-02-21,Product A,395,Actual,395,395
2021-02-22,Product A,426,Actual,426,426
2021-02-23,Product A,425,Actual,425,425
2021-02-24,Product A,443,Actual,443,443
2021-02-25,Product A,429,Actual,429,429
2021-02-26,Product A,441,Actual,441,441
2021-02-27,Product A,411,Actual,411,411
2021-02-28,Product A,423,Actual,423,423
2021-03-01,Product A,434,Actual,434,434
2021-03-02,Product A,435,Actual,435,435
2021-03-03,Product A,452,Actual,452,452
2021-03-04,Product A,452,Actual,452,452
2021-03-05,Product A,432,Actual,432,432
2021-03-06,Product A,409,Actual,409,409
2021-03-07,Product A,429,Actual,429,429
2021-03-08,Product A,424,Actual,424,424
2021-03-09,Product A,460,Actual,460,460
2021-03-10,Product A,451,Actual,451,451
2021-03-11,Product A,446,Actual,446,446
2021-03-12,Product A,430,Actual,430,430
2021-03-13,Product A,423,Actual,423,423
2021-03-14,Product A,426,Actual,426,426
2021-03-15,Product A,451,Actual,451,451
2021-03-16,Product A,447,Actual,447,447
2021-03-17,Product A,456,Actual,456,456
2021-03-18,Product A,457,Actual,457,457
2021-03-19,Product A,426,Actual,426,426
2021-03-20,Product A,419,Actual,419,419
2021-03-21,Product A,429,Actual,429,429
2021-03-22,Product A,442,Actual,442,442
2021-03-23,Product A,449,Actual,449,449
2021-03-24,Product A,469,Actual,469,469
2021-03-25,Product A,436,Actual,436,436
2021-03-26,Product A,433,Actual,433,433
2021-03-27,Product A,420,Actual,420,420
2021-03-28,Product A,439,Actual,439,439
2021-03-29,Product A,462,Actual,462,462
2021-03-30,Product A,459,Actual,459,459
2021-03-31,Product A,459,Actual,459,459
2021-04-01,Product A,456,Actual,456,456
2021-04-02,Product A,440,Actual,440,440
2021-04-03,Product A,438,Actual,438,438
2021-04-04,Product A,447,Actual,447,447
2021-04-05,Product A,453,Actual,453,453
2021-04-06,Product A,448,Actual,448,448
2021-04-07,Product A,461,Actual,461,461
2021-04-08,Product A,431,Actual,431,431
2021-04-09,Product A,419,Actual,419,419
2021-04-10,Product A,432,Actual,432,432
2021-04-11,Product A,422,Actual,422,422
2021-04-12,Product A,452,Actual,452,452
2021-04-13,Product A,453,Actual,453,453
2021-04-14,Product A,449,Actual,449,449
2021-04-15,Product A,443,Actual,443,443
2021-04-16,Product A,435,Actual,435,435
2021-04-17,Product A,431,Actual,431,431
2021-04-18,Product A,425,Actual,425,425
2021-04-19,Product A,454,Actual,454,454
2021-04-20,Product A,464,Actual,464,464
2021-04-21,Product A,453,Actual,453,453
2021-04-22,Product A,456,Actual,456,456
2021-04-23,Product A,441,Actual,441,441
2021-04-24,Product A,412,Actual,412,412
2021-04-25,Product A,446,Actual,446,446
2021-04-26,Product A,457,Actual,457,457
2021-04-27,Product A,464,Actual,464,464
2021-04-28,Product A,473,Actual,473,473
2021-04-29,Product A,460,Actual,460,460
2021-04-30,Product A,420,Actual,420,420
2021-05-01,Product A,429,Actual,429,429
2021-05-02,Product A,450,Actual,450,450
2021-05-03,Product A,433,Actual,433,433
2021-05-04,Product A,451,Actual,451,451
2021-05-05,Product A,463,Actual,463,463
2021-05-06,Product A,478,Actual,478,478
2021-05-07,Product A,443,Actual,443,443
2021-05-08,Product A,425,Actual,425,425
2021-05-09,Product A,434,Actual,434,434
2021-05-10,Product A,447,Actual,447,447
2021-05-11,Product A,463,Actual,463,463
2021-05-12,Product A,461,Actual,461,461
2021-05-13,Product A,462,Actual,462,462
2021-05-14,Product A,417,Actual,417,417
2021-05-15,Product A,421,Actual,421,421
2021-05-16,Product A,438,Actual,438,438
2021-05-17,Product A,430,Actual,430,430
2021-05-18,Product A,454,Actual,454,454
2021-05-19,Product A,458,Actual,458,458
2021-05-20,Product A,443,Actual,443,443
2021-05-21,Product A,448,Actual,448,448
2021-05-22,Product A,424,Actual,424,424
2021-05-23,Product A,442,Actual,442,442
2021-05-24,Product A,431,Actual,431,431
2021-05-25,Product A,457,Actual,457,457
2021-05-26,Product A,457,Actual,457,457
2021-05-27,Product A,442,Actual,442,442
2021-05-28,Product A,448,Actual,448,448
2021-05-29,Product A,429,Actual,429,429
2021-05-30,Product A,441,Actual,441,441
2021-05-31,Product A,439,Actual,439,439
2021-06-01,Product A,453,Actual,453,453
2021-06-02,Product A,447,Actual,447,447
2021-06-03,Product A,442,Actual,442,442
2021-06-04,Product A,428,Actual,428,428
2021-06-05,Product A,417,Actual,417,417
2021-06-06,Product A,424,Actual,424,424
2021-06-07,Product A,431,Actual,431,431
2021-06-08,Product A,484,Actual,484,484
2021-06-09,Product A,446,Actual,446,446
2021-06-10,Product A,443,Actual,443,443
2021-06-11,Product A,415,Actual,415,415
2021-06-12,Product A,414,Actual,414,414
2021-06-13,Product A,420,Actual,420,420
2021-06-14,Product A,434,Actual,434,434
2021-06-15,Product A,439,Actual,439,439
2021-06-16,Product A,426,Actual,426,426
2021-06-17,Product A,442,Actual,442,442
2021-06-18,Product A,421,Actual,421,421
2021-06-19,Product A,429,Actual,429,429
2021-06-20,Product A,411,Actual,411,411
2021-06-21,Product A,426,Actual,426,426
2021-06-22,Product A,433,Actual,433,433
2021-06-23,Product A,433,Actual,433,433
2021-06-24,Product A,448,Actual,448,448
2021-06-25,Product A,434,Actual,434,434
2021-06-26,Product A,402,Actual,402,402
2021-06-27,Product A,406,Actual,406,406
2021-06-28,Product A,445,Actual,445,445
2021-06-29,Product A,445,Actual,445,445
2021-06-30,Product A,434,Actual,434,434
2021-07-01,Product A,451,Actual,451,451
2021-07-02,Product A,419,Actual,419,419
2021-07-03,Product A,409,Actual,409,409
2021-07-04,Product A,410,Actual,410,410
2021-07-05,Product A,427,Actual,427,427
2021-07-06,Product A,443,Actual,443,443
2021-07-07,Product A,450,Actual,450,450
2021-07-08,Product A,434,Actual,434,434
2021-07-09,Product A,415,Actual,415,415
2021-07-10,Product A,410,Actual,410,410
2021-07-11,Product A,404,Actual,404,404
2021-07-12,Product A,411,Actual,411,411
2021-07-13,Product A,442,Actual,442,442
2021-07-14,Product A,435,Actual,435,435
2021-07-15,Product A,447,Actual,447,447
2021-07-16,Product A,416,Actual,416,416
2021-07-17,Product A,421,Actual,421,421
2021-07-18,Product A,415,Actual,415,415
2021-07-19,Product A,409,Actual,409,409
2021-07-20,Product A,442,Actual,442,442
2021-07-21,Product A,441,Actual,441,441
2021-07-22,Product A,426,Actual,426,426
2021-07-23,Product A,415,Actual,415,415
2021-07-24,Product A,399,Actual,399,399
2021-07-25,Product A,414,Actual,414,414
2021-07-26,Product A,435,Actual,435,435
2021-07-27,Product A,426,Actual,426,426
2021-07-28,Product A,445,Actual,445,445
2021-07-29,Product A,423,Actual,423,423
2021-07-30,Product A,403,Actual,403,403
2021-07-31,Product A,379,Actual,379,379
2021-08-01,Product A,395,Actual,395,395
2021-08-02,Product A,406,Actual,406,406
2021-08-03,Product A,429,Actual,429,429
2021-08-04,Product A,430,Actual,430,430
2021-08-05,Product A,410,Actual,410,410
2021-08-06,Product A,399,Actual,399,399
2021-08-07,Product A,395,Actual,395,395
2021-08-08,Product A,403,Actual,403,403
2021-08-09,Product A,418,Actual,418,418
2021-08-10,Product A,417,Actual,417,417
2021-08-11,Product A,419,Actual,419,419
2021-08-12,Product A,407,Actual,407,407
2021-08-13,Product A,410,Actual,410,410
2021-08-14,Product A,375,Actual,375,375
2021-08-15,Product A,389,Actual,389,389
2021-08-16,Product A,409,Actual,409,409
2021-08-17,Product A,421,Actual,421,421
2021-08-18,Product A,417,Actual,417,417
2021-08-19,Product A,412,Actual,412,412
2021-08-20,Product A,398,Actual,398,398
2021-08-21,Product A,397,Actual,397,397
2021-08-22,Product A,393,Actual,393,393
2021-08-23,Product A,398,Actual,398,398
2021-08-24,Product A,425,Actual,425,425
2021-08-25,Product A,431,Actual,431,431
2021-08-26,Product A,405,Actual,405,405
2021-08-27,Product A,390,Actual,390,390
2021-08-28,Product A,379,Actual,379,379
2021-08-29,Product A,409,Actual,409,409
2021-08-30,Product A,421,Actual,421,421
2021-08-31,Product A,404,Actual,404,404
2021-09-01,Product A,430,Actual,430,430
2021-09-02,Product A,383,Actual,383,383
2021-09-03,Product A,411,Actual,411,411
2021-09-04,Product A,388,Actual,388,388
2021-09-05,Product A,416,Actual,416,416
2021-09-06,Product A,415,Actual,415,415
2021-09-07,Product A,410,Actual,410,410
2021-09-08,Product A,424,Actual,424,424
2021-09-09,Product A,403,Actual,403,403
2021-09-10,Product A,407,Actual,407,407
2021-09-11,Product A,400,Actual,400,400
2021-09-12,Product A,400,Actual,400,400
2021-09-13,Product A,394,Actual,394,394
2021-09-14,Product A,427,Actual,427,427
2021-09-15,Product A,418,Actual,418,418
2021-09-16,Product A,425,Actual,425,425
2021-09-17,Product A,401,Actual,401,401
2021-09-18,Product A,378,Actual,378,378
2021-09-19,Product A,399,Actual,399,399
2021-09-20,Product A,403,Actual,403,403
2021-09-21,Product A,430,Actual,430,430
2021-09-22,Product A,428,Actual,428,428
2021-09-23,Product A,407,Actual,407,407
2021-09-24,Product A,397,Actual,397,397
2021-09-25,Product A,403,Actual,403,403
2021-09-26,Product A,397,Actual,397,397
2021-09-27,Product A,411,Actual,411,411
2021-09-28,Product A,419,Actual,419,419
2021-09-29,Product A,416,Actual,416,416
2021-09-30,Product A,426,Actual,426,426
2021-10-01,Product A,398,Actual,398,398
2021-10-02,Product A,392,Actual,392,392
2021-10-03,Product A,412,Actual,412,412
2021-10-04,Product A,400,Actual,400,400
2021-10-05,Product A,413,Actual,413,413
2021-10-06,Product A,442,Actual,442,442
2021-10-07,Product A,419,Actual,419,419
2021-10-08,Product A,408,Actual,408,408
2021-10-09,Product A,375,Actual,375,375
2021-10-10,Product A,382,Actual,382,382
2021-10-11,Product A,412,Actual,412,412
2021-10-12,Product A,442,Actual,442,442
2021-10-13,Product A,449,Actual,449,449
2021-10-14,Product A,424,Actual,424,424
2021-10-15,Product A,406,Actual,406,406
2021-10-16,Product A,388,Actual,388,388
2021-10-17,Product A,402,Actual,402,402
2021-10-18,Product A,404,Actual,404,404
2021-10-19,Product A,440,Actual,440,440
2021-10-20,Product A,434,Actual,434,434
2021-10-21,Product A,411,Actual,411,411
2021-10-22,Product A,418,Actual,418,418
2021-10-23,Product A,411,Actual,411,411
2021-10-24,Product A,402,Actual,402,402
